"road_A_bike","road_A_car","road_B_bike","road_B_car","road_C_bike","road_C_car"
"212","234","233","210","100","103"
"53.3014125876385","55.2923911646988","56.5704147879792","57.0696994658964","41.9387235539344","39.5288747410218"
"5.77350269189626","34.6410161513775","35.7957166897568","39.2598183048946","30.0222139978605","31.1769145362398"
"87.7572409168231","91.2213425319609","87.7572409168231","85.4478398400646","65.8179306876173","54.2709253038248"
"42.7239199200323","45.0333209967908","47.3427220735493","49.6521231503078","34.6410161513775","34.6410161513775"
"46.1880215351701","48.4974226119286","49.6521231503078","51.9615242270663","36.950417228136","34.6410161513775"
"54.2709253038248","55.4256258422041","54.2709253038248","55.4256258422041","40.4145188432738","39.2598183048946"
"56.5803263805833","48.4974226119286","53.1162247654456","55.4256258422041","40.4145188432738","34.6410161513775"
"60.0444279957211","61.1991285341003","62.3538290724796","62.3538290724796","46.1880215351701","42.7239199200323"
"63.5085296108588","65.8179306876173","67.2035713336724","65.8179306876173","49.8253282310647","45.0333209967908"
