"-Inf","5","0","-34.3932038834951","-6.11731301820463","0","0","0",NA,NA,NA
"5","10","0","-29.3932038834951","-5.22799298874087","0","0","0",NA,NA,NA
"10","15","0","-24.3932038834951","-4.3386729592771","1e-05","1e-05","0.00103",NA,NA,NA
"15","20","0","-19.3932038834951","-3.44935292981334","0.00028","0.00027","0.02781",NA,NA,NA
"20","25","0","-14.3932038834951","-2.56003290034957","0.00523","0.00495","0.50985",NA,NA,NA
"25","30","0","-9.39320388349515","-1.67071287088581","0.04739","0.04216","4.34248",NA,NA,NA
"30","35","27","-4.39320388349515","-0.781392841422046","0.21729","0.1699","17.4997","27","22.38087","0.95333"
"35","40","33","0.606796116504853","0.107927188041719","0.54297","0.32569","33.54607","33","33.54607","0.00889"
"40","45","23","5.60679611650485","0.997247217505483","0.84068","0.2977","30.6631","23","30.6631","1.91511"
"45","50","17","10.6067961165049","1.88656724696925","0.97039","0.12971","13.36013","20","16.40996","0.7854"
"50","55","3","15.6067961165049","2.77588727643301","0.99725","0.02686","2.76658",NA,NA,NA
"55","60","0","20.6067961165049","3.66520730589678","0.99988","0.00263","0.27089",NA,NA,NA
"60","65","0","25.6067961165049","4.55452733536054","1","0.00012","0.01236",NA,NA,NA
"65","70","0","30.6067961165049","5.4438473648243","1","0","0",NA,NA,NA
"70","75","0","35.6067961165049","6.33316739428807","1","0","0",NA,NA,NA
"75","80","0","40.6067961165049","7.22248742375183","1","0","0",NA,NA,NA
"80","85","0","45.6067961165049","8.1118074532156","1","0","0",NA,NA,NA
"85","90","0","50.6067961165049","9.00112748267936","1","0","0",NA,NA,NA
"90","Inf","0","Inf","Inf","1","0","0",NA,NA,NA
"3.66273","1","3.841","TRUE",NA,NA,NA,NA,NA,NA,NA
